"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","住所","方書","緯度","経度","設置位置","電話番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","URL","備考"
"172065","000001","石川県","加賀市","大聖寺実業高等学校","ダイショウジジツギョウコウトウガッコウ","石川県加賀市熊坂町ヲ７７","","36.2978","136.3045","職員玄関・体育館","0761-72-0715","","石川県","月;火;水;木;金","08:15","16:45","","",""
"172065","000002","石川県","加賀市","大聖寺高等学校","ダイショウジコウトウガッコウ","石川県加賀市大聖寺永町３３－１","","36.3095","136.3197","職員玄関","0761-72-0054","","石川県","月;火;水;木;金","08:15","16:45","","",""
"172065","000003","石川県","加賀市","いきいきランドかがエイム","イキイキランドカガエイム","石川県加賀市熊坂町乙１－１","","36.2857","136.2916","スタジオ前","0761-72-8011","","","","","","","",""
"172065","000004","石川県","加賀市","錦城中学校","キンジョウチュウガッコウ","石川県加賀市大聖寺地方町６乙７４－１","","36.3003","136.3028","体育館","0761-72-1515","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000005","石川県","加賀市","橋立中学校","ハシタテチュウガッコウ","石川県加賀市小塩町ろ１","","36.3491","136.3141","体育館玄関","","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000006","石川県","加賀市","錦城小学校","キンジョウショウガッコウ","石川県加賀市大聖寺八間道５７","","36.3078","136.3079","講堂","","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000007","石川県","加賀市","錦城東小学校","キンジョウヒガシジョウガッコウ","石川県加賀市大聖寺敷地ワ１３","","36.3122","136.3225","体育館フロア入口","0761-72-3234","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000008","石川県","加賀市","三木小学校","ミキショウガッコウ","石川県加賀市三木町二９８","","36.2932","136.2855","体育館","0761-72-1773","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000009","石川県","加賀市","三谷小学校","ミタニショウガッコウ","石川県加賀市直下町二丙７３","","36.2835","136.3246","体育館","0761-72-1771","","加賀市","月;火;水;木;金","08:15","16:45","","",""
"172065","000010","石川県","加賀市","南郷小学校","ナンゴウショウガッコウ","石川県加賀市吸坂町ヤ２６","","36.3042","136.3373","体育館入口","0761-72-1894","","加賀市","月;火;水;木;金","08:15","16:45","","",""
