"NO","名称","名称_カナ","住所","方書","緯度","経度","電話番号","市区町村コード","都道府県名","市区町村名","災害種別_洪水","災害種別_崖崩れ、土石流及び地滑り","災害種別_高潮","災害種別_地震","災害種別_津波","災害種別_大規模な火事","災害種別_内水氾濫","災害種別_火山現象","指定避難所との重複","想定収容人数","対象となる町会・自治会","URL","備考"
"000001","加賀市立錦城小学校運動場","カガシリツキンジョウショウガッコウウンドウジョウ","石川県加賀市大聖寺八間道５７","","36.30794","136.307231","0761-72-0269","172065","石川県","加賀市","","","","1","1","1","1","","","4247","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000002","加賀市立錦城東小学校運動場","カガシリツキンジョウヒガシショウガッコウウンドウジョウ","石川県加賀市大聖寺敷地ワ１３","","36.312308","136.32348","0761-72-3234","172065","石川県","加賀市","","1","","1","1","1","1","","","3595","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000003","加賀市立錦城中学校運動場","カガシリツキンジョウチュウガッコウウンドウジョウ","石川県加賀市大聖寺地方町６乙７４－１","","36.301013","136.303586","0761-72-1515","172065","石川県","加賀市","1","1","","1","1","1","1","","","6034","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000004","加賀体育館駐車場","カガタイイクカンチュウシャジョウ","石川県加賀市大聖寺東町２丁目３－１","","36.304025","136.318168","0761-73-2664","172065","石川県","加賀市","","1","","1","1","1","1","","","197","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000005","石川県立大聖寺高等学校運動場","イシカワケンリツダイショウジコウトウガッコウウンドウジョウ","石川県加賀市大聖寺永町３３－１","","","136.319419","0761-72-0054","172065","石川県","加賀市","1","1","","1","1","1","1","","","3603","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000006","石川県立大聖寺実業高等学校運動場","イシカワケンリツダイショウジジツギョウコウトウガッコウウンドウジョウ","石川県加賀市熊坂町ヲ７７","","36.297328","136.305103","0761-72-0715","172065","石川県","加賀市","1","1","","1","1","1","1","","","3475","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000007","石川県立加賀聖城高等学校運動場","イシアクァケンリツカガセイジョウコウトウガッコウウンドウジョウ","石川県加賀市大聖寺馬場町２８","","36.306121","136.306719","0761-72-0297","172065","石川県","加賀市","","","","1","1","1","1","","","2916","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000008","加賀市大聖寺テニスコート","カガシダイショウジテニスコート","石川県加賀市大聖寺八間道３０ー２","","36.306777","136.307888","","172065","石川県","加賀市","","1","","1","1","1","1","","","1334","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000009","大聖寺ふれあい広場古九谷の杜","ダイショウジフレアイヒロバコクタニノモリ","石川県加賀市大聖寺地方町１－１－１","","36.301707","136.310901","","172065","石川県","加賀市","1","1","","1","1","1","1","","","－","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000010","加賀市立山代小学校運動場","カガシリツヤマシロショウガッコウウンドウジョウ","石川県加賀市山代温泉山背台２丁目４４－１","","36.292531","136.357457","0761-76-0146","172065","石川県","加賀市","1","1","","1","1","1","1","","","2366","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000011","加賀市立山代中学校運動場","カガシリツヤマシロチュウガッコウウンンドウジョウ","石川県加賀市上野町エ４５－２","","36.298756","136.372793","0761-76-0044","172065","石川県","加賀市","1","1","","1","1","1","1","","","5796","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000012","山代グラウンド","ヤマシログラウンド","石川県加賀市山代温泉山林１６－６０","","36.292358","136.365573","","172065","石川県","加賀市","1","","","1","1","1","1","","","2788","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000013","松籟公園","ショウライコウエン","石川県加賀市山代温泉山林１６－６０","","36.291694","136.366992","","172065","石川県","加賀市","1","1","","1","1","1","1","","","－","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000014","桔梗ケ丘広場","キキョウガオカヒロバ","石川県加賀市山代温泉桔梗ｹ丘３丁目４７－２","","36.286045","136.355739","","172065","石川県","加賀市","1","1","","1","1","1","1","","","1636","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000015","加賀市文化会館駐車場","カガシブンカカイカンチュウシャジョウ","石川県加賀市山代温泉北部２丁目６８","","36.296556","136.357924","0761-77-2811","172065","石川県","加賀市","1","1","","1","1","1","1","","","770","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000016","加賀市立庄小学校運動場","カガシリツショウショウガッコウウンドウジョウ","石川県加賀市庄町ワ１０１－１","","36.313273","136.374491","0761-74-1199","172065","石川県","加賀市","1","1","","1","1","1","1","","","3025","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000017","加賀市立勅使小学校運動場","カガシリツチョクシショウガッコウウンドウジョウ","石川県加賀市勅使町２４","","36.303521","136.388492","0761-76-0709","172065","石川県","加賀市","","1","","1","1","1","1","","","2839","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000018","加賀市立東谷口小学校運動場","カガシリツヒガシタニグチショウガッコウウンドウジョウ","石川県加賀市水田丸町ヌ３６－１","","36.284462","136.389669","0761-76-0805","172065","石川県","加賀市","1","1","","1","1","1","1","","","3346","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000019","加賀市立片山津小学校運動場","カガシリツカタヤマヅショウガッコウウンドウジョウ","石川県加賀市片山津町ス丙２１","","36.339484","136.365551","0761-74-1159","172065","石川県","加賀市","1","","","1","1","1","1","","","3072","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000020","片山津温泉湯の曲輪広場","カタヤマヅオンセンユノガワヒロバ","石川県加賀市片山津温泉乙５８","","36.34551","136.365861","","172065","石川県","加賀市","1","1","","1","1","1","1","","","－","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000021","加賀市立片山津中学校運動場","カガシリツカタヤマヅチュウガッコウウンドウジョウ","石川県加賀市潮津町レ１－１","","36.351942","136.349427","0761-74-1154","172065","石川県","加賀市","1","1","","1","1","1","1","","","5705","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000022","柴山潟湖畔公園","シバヤマガタコハンコウエン","石川県加賀市潮津町イ１０６","","36.352022","136.361389","","172065","石川県","加賀市","","1","","1","","1","1","","","7515","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000023","加賀市片山津野球場","カガシカタヤマヅヤキュウジョウ","石川県加賀市潮津町ソ１","","36.350406","136.350694","","172065","石川県","加賀市","1","1","","1","1","1","1","","","18787","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
"000024","加賀市ソフトボール場","カガシソフトボールジョウ","石川県加賀市潮津町ソ１","","36.350112","136.349557","","172065","石川県","加賀市","1","1","","1","1","1","1","","","","","http://www.city.kaga.ishikawa.jp/soumu/bousaitaisaku/saigaijinohinannbasyo.html",""
