"市区町村コード","NO","都道府県名","市区町村名","データ番号","イベント名","イベント名_カナ","イベント名_英語","開始日","終了日","開始時間","終了時間","開始日時特記事項","説明","料金(基本)","料金(詳細)","連絡先名称","連絡先電話番号","主催者","場所名称","住所","方書","緯度","経度","定員","参加申込終了日","参加申込終了時間","参加申込方法","URL","備考"
"172065","000001","石川県","加賀市","000001","桜まつり","サクラマツリ","","2017-04-08","2017-04-09","","","毎年4月第2土曜・翌日曜","加賀神明宮（山下神社）の例祭。山車や手踊りや獅子舞が町内を練り歩く。","無料","―","加賀神明宮","0761-72-0451","加賀神明宮","加賀市大聖寺","石川県加賀市大聖寺神明町15（加賀神明宮）","","36.3032551","136.3068574","","","","―","http://www.tabimati.net/event/detail.php?p=422",""
"172065","000002","石川県","加賀市","000002","加賀温泉郷マラソン2017","カガオンセンキョウマラソンニセンジュウナナ","Kagaonsenkyou Marathon 2017","2017-04-15","2017-04-16","マラソンの部 09:0010kmの部 11:005kmの部 11:10ファンラン13:30(4/15)","マラソンの部 15:0010kmの部  12:305kmの部  12:00ファンラン14:00(4/15)","第三日曜日(前日は土曜日)開催予定","加賀温泉郷の三温泉、「片山津温泉」、「山代温泉」、「山中温泉」を駆け巡るマラソン大会。加賀の自然や町並み、食などを一度に堪能することができます。","ﾏﾗｿﾝ 7000円10km 3500円5km 3500円ﾌｧﾝﾗﾝ  500円","","加賀温泉郷マラソン組織委員会事務局","0761-72-7922","加賀温泉郷マラソン組織委員会","事務局加賀市マラソン開催推進室会場加賀市スポーツセンター","事務局加賀市大聖寺南町二４１番地会場加賀市山田町リ２４５番地２","","36.3246971","136.3316635","ﾏﾗｿﾝ 450010km 20005km 1000ﾌｧﾝﾗﾝ  300","2017-01-31","","ランネットhttps://runnet.jp/スポーツエントリーhttps://www.sportsentry.ne.jp/0570-550-846郵便振替","http://www.kagaonsenkyoumarathon.com/",""
"172065","000003","石川県","加賀市","000003","山中漆器祭","ヤマナカシッキマツリ","","2017-05-03","2017-05-04","09:00","17:00","","日本一の生産を誇る山中漆器を、より多くの方に知ってもらうため開催。お手頃価格で販売。","無料","―","山中漆器連合協同組合 ","0761-78-0305","山中漆器連合協同組合","山中温泉　山中座　菊の湯ラウンジ周辺","石川県加賀市山中温泉薬師町ム−1","","36.2470742","136.3725457","","","","―","http://www.kaga-tv.com/yamanaka/event/index.html",""
"172065","000004","石川県","加賀市","000004","甘茶まつり","アマチャマツリ","","2017-05-04","2017-05-05","","","1日目、2日目で開催時刻が違う","温泉繁栄、五穀豊穣などを祈願し、お釈迦様の甘茶供養が行われる。甘茶を飲むとその年無病息災で過ごせる。","無料","―","医王寺","0761-78-1230","医王寺","医王寺","石川県加賀市山中温泉薬師町リ１","","36.2491463","136.3717289","","","","―","http://www.tabimati.net/event/detail.php?p=418&",""
"172065","000005","石川県","加賀市","000005","菖蒲湯まつり","ショウブユマツリ","","2017-06-04","2017-06-04","","","山代温泉のみ6/4、6/5　終了時間21：00","無病息災を願って旅館や総湯（共同浴場）に香り豊かな菖蒲が入る。山代温泉では、若者達が菖蒲俵からできた神輿を引っ張り、湯の町を練り歩く。菖蒲の香りが、町中いっぱいに広がり菖蒲湯も楽しめる。","無料","―","山代温泉観光協会（一社）山中温泉観光協会片山津温泉観光協会","0761-77-1144;0761-78-0330;0761-74-1123","","各温泉地","","","","","","","","―","http://www.tabimati.net/event/detail.php?p=68&",""
"172065","000006","石川県","加賀市","000006","山中節認定審査会","ヤマナカブシニンテイシンサカイ","","2017-06-11","2017-06-11","09:00","17:00","毎年6月第2日曜日","郷土芸能「山中節」の普及と保存に努めるため、参加者を募り3～1級、初、中、奥伝の認定を行う。","1000円","","山中座","0761-78-5523","","山中座","石川県加賀市山中温泉薬師町ム１","","36.2470742","136.3725457","","","","―","http://www.yamanaka-spa.or.jp/event/116",""
"172065","000007","石川県","加賀市","000007","古九谷修古祭","コクタニシュウコサイ","","2017-06-24","2017-06-25","09:00","17:00","毎年古九谷発掘日（6/27）に近い土日","古九谷発祥の地山中で、全国に関心を高めることを目的に、古九谷名品展や現代陶芸展などが行われる。","無料","―","（一社）山中温泉観光協会","0761-78-0330","古九谷修古祭実行委員会","芭蕉の館","石川県加賀市山中温泉本町２丁目ニ８６－１","","36.2462005","136.3738593","","","","―","http://www.yamanaka-spa.or.jp/event/118",""
"172065","000008","石川県","加賀市","000008","大聖寺灯ろう流し","ダイショウジトウロウナガシ","","2017-07-15","2017-07-15","19:00","21:00","毎年7月第3土曜日荒天時中止","城下町大聖寺の夏の風物詩のひとつ。地元の子供たちがこの日のために心を込めて作った灯ろうが夜の熊坂川へ流され、幻想的な眺めを楽しむことができます。","無料","見学無料、灯ろうを流すには協賛金が必要","大聖寺灯ろう流し実行委員会","0761-72-2585","大聖寺灯ろう流し実行委員会","古九谷の杜親水公園","石川県加賀市熊坂町ハ1-3","","36.3011021","136.3099666","","","","","http://www.tabimati.net/event/detail.php?p=572&",""
"172065","000009","石川県","加賀市","000009","ふるさと山中夏まつり","フルサトヤマナカナツマツリ","","2017-07-22","2017-08-27","19:45","21:30","","約1ヶ月の間、縁日が続く山中温泉の夏祭り。期間中の夜間は山中座の周りに綿菓子やヨーヨー釣り、射的など昔ながらの夜店が建ち並ぶ。そのほかステージでの催し物や抽選会も開催される。","","","（一社）山中温泉観光協会","0761-78-0330","（一社）山中温泉観光協会","山中座周辺","石川県加賀市山中温泉薬師町ム１","","36.2470742","136.3725457","","","","―","http://www.yamanaka-spa.or.jp/event/119",""
"172065","000010","石川県","加賀市","000010","天神講","テンジンコウ","","2017-07-24","2017-07-26","10:00","20:00","毎年同日開催","神社創祀以来およそ1400年続く大変古い神事で、江戸時代には大聖寺藩の藩祭として、藩主をはじめ藩内全住民がお参りしたといわれる。期間中は、日毎に異なる特殊な神事が行われ、蝶の舞と呼ばれる貴重な稚児舞も奉納される。","無料","","菅生石部神社","0761-72-0412","菅生石部神社","菅生石部神社","石川県加賀市大聖寺敷地ル乙８１","","36.3130427","136.3208038","","","","―","http://www.tenjin.or.tv/tenjin/tenjin.htm",""
