"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","医療機関の種類","住所","方書","緯度","経度","電話番号","法人番号","法人の名称","診療曜日","診療開始時間","診療終了時間","診療日時特記事項","時間外における対応","診療科目","病床数","URL","備考"
"172065","000001","石川県","加賀市","加賀市医療センター","カガシイリョウセンター","病院","石川県加賀市作見町リ36番地","","36.317338","136.352137","0761-72-1188","","","月;火;水;木;金","08:30（受付開始）","11：30（受付終了）","祝日、年末年始（12/1～1/3）は休診","初期、二次救急の受入対応","内科;呼吸器内科;循環器内科;消化器内科;内分泌・代謝;腎臓内科;神経内科;外科,消化器外科;乳腺外科;肛門外科;整形外科;脳神経外科;ﾘｳﾏﾁ科;小児科,皮膚科;泌尿器科;産婦人科;眼科;耳鼻咽喉科;ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科;放射線科;救急科;麻酔科","300","http://www.kagacityhp.jp/",""
"172065","000002","石川県","加賀市","山中温泉ぬくもり診療所","ヤマナカオンセンヌクモリシンリョウジョ","有床診療所","石川県加賀市山中温泉上野町ル15-1","","36.253702","136.370271","0761-78-0301","2010005014562","公益社団法人地域医療振興協会","月;火;水;木;金;土","08:30","17:00","土曜日は午前診療（9時～12時30分）。祝日は休診。年末年始（12/29～1/3までは休診）","","内科;小児科;整形外科;眼科;耳鼻咽喉科","19","http://nukumori.jadecom.or.jp/","病床は稼動していない。"
"172065","000003","石川県","加賀市","池本整形外科医院","イケモトセイケイゲカイイン","","石川県加賀市下河崎町ヘ17","","36.3075548","136.3343832","0761-73-1521","","医療法人社団","月;火;水;木;金;土","08:30","18:00","土曜日は午後15時まで診療。木曜午後、日曜、祝日は休診。","","整形外科","","",""
"172065","000004","石川県","加賀市","いしぐろクリニック","イシグロクリニック","","石川県加賀市大聖寺耳聞山町85-2","","36.3087486","136.3157351","0761-73-0012","","","月;火;水;木;金;土","08:30","18:00","第2土曜日のみ午前診療(8時30分～13時)。水曜、木曜は19:00まで診療。日曜、祝日は休診。","","内科;外科;消化器科","","http://www23.atpages.jp/~ishiguroclinic/",""
"172065","000005","石川県","加賀市","稲坂内科医院","イナサカナイカイイン","","石川県加賀市大聖寺仲町23","","36.3095567","136.3117995","0761-72-0231","","","月;火;水;木;金;土","08:30","18:00","火曜日・木曜日・土曜日は午前診療（8時30分～12時）。日曜、祝日は休診。","","内科;循環器科;呼吸器科","","",""
"172065","000006","石川県","加賀市","うわだな小児科医院","ウワダナショウニカイイン","","石川県加賀市下河崎町ヘ101-1","","36.3071271","136.3329223","0761-73-0998","","","月;火;水;木;金;土","08:30","18:00","木曜日は午前診療（8時30分～12時）、土曜日は午後16時まで診療。日曜、祝日は休診。","","小児科","","http://www.uwadana.com",""
"172065","000007","石川県","加賀市","加賀温泉リハビリクリニック","カガオンセンリハビリクリニック","","石川県加賀市直下町ヲ91","","36.2773888","136.3278299","0761-73-3315","","","月;火;水;木;金;土","08:30","15:00","月曜、水曜、金曜は午前診療（8時30分～12時30分）。火曜、土曜の午前は再診のみ。水曜、金曜の午後は再診のみ。木曜は再診のみ（8時30分～15時30分）","","リハビリテーション科","","",""
"172065","000008","石川県","加賀市","加賀こころの病院","カガココロノビョウイン","","石川県加賀市幸町2丁目63番地","","36.317582","136.342797","0761-72-0880","","","月;火;水;木;金","09:00","16:00","土曜、日曜、祝日は休診。","","内科;精神科;心療内科","","http://www.chokyu.gr.jp/",""
"172065","000009","石川県","加賀市","久藤総合病院","クドウソウゴウビョウイン","","石川県加賀市大聖寺永町イ17番地","","36.3078377","136.3202179","0761-73-3312","","","月;火;水;木;金;土","08:30","17:00","土曜は第1、3、5のみ午前診療（8時30分～12時）。日曜、祝日は休診。","","循環器科;呼吸器科;脳神経外科;泌尿器科;整形外科;外科;消化器科;内科;眼科;耳鼻咽喉科;皮膚科","","",""
"172065","000010","石川県","加賀市","高沢整形外科医院","タカザワセイケイゲカイイン","","石川県加賀市大聖寺馬場町25-4","","36.3055599","136.3083111","0761-75-1110","","","月;火;水;木;金;土","09:00","18:00","土曜日は17時まで診療。木曜は午前診療（9時～12時30分）。日曜、祝日は休診。","","整形外科;リウマチ科;リハビリテーション科","","",""
"172065","000011","石川県","加賀市","竹下耳鼻咽喉科医院","タケシタジビインコウカイイン","","石川県加賀市大聖寺荒町6","","36.3049684","136.3134244","0761-72-2300","","","月;火;水;木;金;土","09:00","17:30","木曜日は午前診療（8時30分～12時）、土曜日は16時まで診療。日曜、祝日は休診。","","耳鼻咽喉科","","",""
"172065","000012","石川県","加賀市","武村眼科医院","タケムラガンカイイン","","","","36.305231","136.313664","0761-72-0648","","","","","","","","","","",""
"172065","000013","石川県","加賀市","竹谷小児科医院","タケヤショウニカイイン","","","","36.306699","136.308613","0761-73-6800 ","","","","","","","","","","",""
"172065","000014","石川県","加賀市","田中医院","タナカイイン","","石川県加賀市大聖寺荒町56","","36.3054128","136.314216","0761-72-0230","","","月;火;水;木;金;土","09:00","18:00","木曜は午前診療（9時～12時30分）。土曜日は16時まで診療。日曜、祝日は休診。","","産婦人科","","",""
"172065","000015","石川県","加賀市","橋本医院","ハシモトイイン","","石川県加賀市大聖寺南町チ20-4","","36.3032547","136.3121245","0761-72-1150","","","月;火;水;木;金;土","09:00","18:00","木曜は午前診療（9時～13時）。日曜、祝日は休診。","","内科;循環器科;リハビリテーション科","","http://hashimotoin.hp.gogo.jp/",""
"172065","000016","石川県","加賀市","蓮井病院","ハスイビョウイン","","石川県加賀市大聖寺東町1-71-1","","36.3060435","136.3200597","0761-73-5111","","","月;火;水;木;金;土","08:30","18:00","木曜は午前診療（8時30分～13時）。日曜、祝日は休診。","","内科;循環器科;呼吸器科;外科;消化器科;皮膚科","","",""
