"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","名称_通称","公共施設小分類コード","住所","方書","緯度","経度","電話番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","説明","バリアフリー情報","URL","備考"
"172065","000001","石川県","加賀市","加賀市役所","カガシヤクショ","加賀市役所","01:庁舎等","石川県加賀市大聖寺南町ニ41","","36.30277724","136.31500279","0761-72-1111","2000020172065","加賀市","月;火;水;木;金","08:30","17:15","祝日、12/29～1/3は利用不可。","","多目的トイレ有り;車椅子貸出有り","http://www.city.kaga.ishikawa.jp",""
"172065","000002","石川県","加賀市","山中温泉支所","ヤマナカオンセンシショ","山中温泉支所","01:庁舎等","石川県加賀市山中温泉湯の出町タ３３","","36246412","136.371966","0761-78-1111","","加賀市","月;火;水;木;金","08:30","17:15","","","車椅子貸出有り","",""
"172065","000003","石川県","加賀市","山中温泉共同浴場菊の湯第1（男湯）","ヤマナカオンセン　キョウドウヨクジョウ　キクノユダイイチオトコユ","菊の湯第1男湯","04:レクリエーション施設・観光施設","石川県加賀市山中温泉湯の出町レ１","","36.246908","136.373241","0761-78-4026","","加賀市","月;火;水;木;金;土;日","06:45","22:30","不定期で休業日あり","","","",""
"172065","000004","石川県","加賀市","山中温泉共同浴場菊の湯第1（女湯）","ヤマナカオンセン　キョウドウヨクジョウ　キクノユダイイチオンナユ","菊の湯第1女湯","04:レクリエーション施設・観光施設","石川県加賀市山中温泉薬師町ム１","","36.247079","136.37249","","","加賀市","月;火;水;木;金;土;日","06:45","22:30","不定期で休業日あり","","多目的トイレ有り","",""
"172065","000005","石川県","加賀市","山中温泉共同浴場菊の湯第2","ヤマナカオンセン　キョウドウヨクジョウ　キクノユダイ２","菊の湯第2","04:レクリエーション施設・観光施設","石川県加賀市山中温泉長谷田町ﾘ391","","36.265034","136.361252","0761-78-0372","","加賀市","月;火;水;木;金;土;日","06:45","22:30","不定期で休業日あり","","多目的トイレ有り車椅子貸出有り","",""
"172065","000006","石川県","加賀市","山中温泉文化会館","ヤマナカオンセン　ブンカカイカン","山中温泉文化会館","06:文化・展覧施設","石川県加賀市山中温泉西桂木町ﾄ5-1","","36.251751","136.374268","0761-78-3311","","加賀市","月;火;水;木;金土;日","09:00","22:00","12/29～1/3は休館日","","多目的トイレ有り車椅子貸出有り","",""
"172065","000007","石川県","加賀市","高齢者ふれあいセンターみやま","コウレイシャフレアイ　センターミヤマ","みやま","14:高齢者福祉施設","石川県加賀市山中温泉菅谷町ﾍ80","","36.229156","136.36618","0761-78-1812","","加賀市","月;火;水;木;金土;日","09:00","17:00","12/29～1/3は休館日","","多目的トイレ有り","",""
"172065","000008","石川県","加賀市","高齢者ふれあいセンターゆざや","コウレイシャフレアイ　センターユザヤ","ゆざや","14:高齢者福祉施設","石川県加賀市山中温泉湯の出町ﾚ11","","36.246704","136.372925","0761-78-1370","","加賀市","月;火;水;木;金土;日","09:00","17:00","12/29～1/3は休館日","","多目的トイレ有り車椅子貸出有り","",""
"172065","000009","石川県","加賀市","山代出張所","ヤマシロシュッチョウショ","山代出張所","01:庁舎等","石川県加賀市山代温泉山背台1丁目60番地","","36.291704","136.359249","0761-77-0360","","加賀市","月;火;水;木;金","08:30","17:15","祝日、年末年始閉庁日は利用不可。","住民票や戸籍、印鑑登録等の証明発行、出生・婚姻等の戸籍届出、住所変更の手続、各課申請類の受付など、市民生活と関わりが深い市役所の窓口的役割をしています。","","http://www.city.kaga.ishikawa.jp/shiminseikatsu/madoguchi/yamashirosyuxtutyousho.html",""
"172065","000010","石川県","加賀市","片山津出張所","カタヤマヅシュッチョウショ","片山津出張所","01:庁舎等","石川県加賀市片山津温泉7の1番地1","","36.344884","136.364835","0761-74-0047","","加賀市","月;火;水;木;金","08:30","17:15","祝日、年末年始閉庁日は利用不可。","住民票や戸籍、印鑑登録等の証明発行、出生・婚姻等の戸籍届出、住所変更の手続、各課申請類の受付など、市民生活と関わりが深い市役所の窓口的役割をしています。","","http://www.city.kaga.ishikawa.jp/shiminseikatsu/madoguchi/katayamadusyuxtutyousyo.html",""
"172065","000011","石川県","加賀市","動橋出張所","イブリハシシュッチョウショ","動橋出張所","01:庁舎等","石川県加賀市動橋町ホ15番地1","","36.330535","136.389545","0761-74-6571","","加賀市","月;火;水;木;金","08:30","17:15","祝日、年末年始閉庁日は利用不可。","住民票や戸籍、印鑑登録等の証明発行、各課申請類の受付など、市民生活と関わりが深い市役所の窓口的役割をしています。","","http://www.city.kaga.ishikawa.jp/shiminseikatsu/madoguchi/iburihashisyuxtuchousho.html",""
"172065","000012","石川県","加賀市","橋立出張所","ハシタテシュッチョウショ","橋立出張所","01:庁舎等","石川県加賀市橋立町ロ357番地1","","36.350882","136.311447","0761-72-7062","","加賀市","月;火;水;木;金","08:30","17:15","祝日、年末年始閉庁日は利用不可。","住民票や戸籍、印鑑登録等の証明発行、各課申請類の受付など、市民生活と関わりが深い市役所の窓口的役割をしています。","","http://www.city.kaga.ishikawa.jp/shiminseikatsu/madoguchi/hashitatesyuxtuchousyo.html",""
"172065","000013","石川県","加賀市","加賀市文化会館","カガシブンカカイカン","加賀市文化会館","06:文化・展覧施設","石川県加賀市山代温泉北部2-68","","36.296839","136.357962","0761-77-2811","","株式会社コーワ","月;火;水;木;金;土;日","09:00","22:00","12/29～1/3は休館日受付時間は9：00～17：00","ホール、各種大小の会議室、茶室などの貸館","車椅子貸出有","http://kaga-bunka.lolipop.jp/",""
"172065","000014","石川県","加賀市","石川県九谷焼美術館","イシカワケンクタニヤキビジュツカン","石川県九谷焼美術館","06:文化・展覧施設","石川県加賀市大聖寺地方町1-10-13","","36.30278","136.310154","0761-72-7466","","加賀市","火;水;木;金;土;日","09:00","17:00","月曜休館（祝日は開館）入館は16：30まで","江戸初期の彩色磁器「古九谷」をはじめとして、およそ360年にわたる九谷焼の名品を展示する美術館です。","車椅子貸出有","http://www.kutani-mus.jp/ja/",""
"172065","000015","石川県","加賀市","加賀市美術館","カガシビジュツカン","加賀市美術館","06:文化・展覧施設","石川県加賀市作見町リ1-4","","36.319025","136.351452","0761-72-8787","","加賀市総合サービス株式会社","月;水;木;金;土;日","10:00","18:00","火曜休館（祝日は開館）、年末年始（12/30～1/1）休館、展示替えによる臨時休館入館は17：30まで","総合美術館。加賀市ゆかりの作家の作品を紹介する企画展や石川県を代表する展覧会の巡回展等を行っています。","車椅子貸出有","http://kagashi-ss.co.jp/bijyutukan/bijyutukan_home/",""
"172065","000016","石川県","加賀市","中谷宇吉郎雪の科学館","ナカヤウキチロウユキノカガクカン","中谷宇吉郎雪の科学館","06:文化・展覧施設","石川県加賀市潮津町イ106","","36.352377","136.362213","0761-75-3323","","加賀市総合サービス・ILove加賀ネットグループ","月;火;木;金;土;日","09:00","17:00","火曜休館（祝日は開館）、展示替えによる臨時休館入館は16：30まで","世界で初めて人工的に雪の結晶を作り出した雪博士・中谷宇吉郎の業績や人となり、雪と氷の科学を紹介した科学館です。","車椅子貸出有","http://kagashi-ss.co.jp/yuki-mus/yuki_home/",""
"172065","000017","石川県","加賀市","北前船の里資料館","キタマエブネノサトシリョウカン","北前船の里資料館","06:文化・展覧施設","石川県加賀市橋立町イ乙1-1","","36.350821","136.310435","0761-75-1250","","加賀市","月;火;水;木;金;土;日","09:00","17:00","入館は16：30まで","加賀橋立重要伝統的建造物群保存地区の一角にあり、北前船の経営により巨額の財をなした酒谷長兵衛の邸宅を活用し、北前船にまつわる様々な資料を公開しています。","","http://www.city.kaga.ishikawa.jp/kitamae/",""
"172065","000018","石川県","加賀市","九谷焼窯跡展示館","クタニヤキカマアトテンジカン","九谷焼窯跡展示館","06:文化・展覧施設","石川県加賀市山代温泉19の101番地9","","36.293978","136.366213","0761-77-0020","","加賀九谷陶磁器協同組合","月;水;木;金;土;日","09:00","17:00","火曜休館（祝日は開館）、年末年始の休館は要問合せ入館は16：30まで","現代九谷焼のルーツである再興九谷吉田屋窯以来の窯跡（国指定史跡）を発掘、整備し、調査状況をそのまま公開している展示館です。","","http://www.kagacable.ne.jp/~kamaato/",""
"172065","000019","石川県","加賀市","深田久弥山の文化館","フカタキュウヤヤマノブンカカン","深田久弥山の文化館","06:文化・展覧施設","石川県加賀市大聖寺番場町18-2","","36.30966","136.310534","0761-72-3313","","特定非営利活動法人深田久弥と山の文化を愛する会","月;水;木;金;土;日","09:00","17:00","火曜休館（祝日は開館）、年末年始の休館は要問合せ入館は16：30まで","「日本百名山」の著者として知られる山の文学者、深田久弥の業績や山の魅力を紹介する文化館です。","","http://www2.kagacable.ne.jp/~yamabun/",""
"172065","000020","石川県","加賀市","魯山人寓居跡いろは草庵","ロサンジングウキョアトイロハソウアン","魯山人寓居跡いろは草庵","06:文化・展覧施設","石川県加賀市山代温泉18-5","","36.287532","136.360584","0761-77-7111","","加賀市総合サービス株式会社","月;火;木;金;土;日","09:00","17:00","水曜休館（祝日は開館）入館は16：30まで","書道家・陶芸家・美食家として知られた北大路魯山人が山代温泉を訪れ、仕事のため数か月滞在した別荘を当時のままに公開しています。","","http://kagashi-ss.co.jp/irohasouan/iroha_home/",""
"172065","000021","石川県","加賀市","加賀市観光情報センター","カガシカンコウジョウホウセンター","加賀市観光情報センター","06:文化・展覧施設","石川県加賀市作見町ヲ6-2 ","","36.319722","136.350844","0761-72-6678","","一般社団法人加賀市観光交流機構","月;火;水;木;金;土;日","08:45","17:30","","加賀温泉郷を中心とした観光情報を発信する観光案内所。交通アクセスや見どころの案内などを行っています。","","http://www.tabimati.net/",""
"172065","000022","石川県","加賀市","はづちを楽堂","ハヅチヲガクドウ","はづちを楽堂","06:文化・展覧施設","石川県加賀市山代温泉18-59-1","","36.289405","136.361289","0761-77-8270","","特定非営利活動法人はづちを","月;火;木;金;土;日","09:30","18:00","水曜休館、祝日は開館冬季営業時間短縮有","大正時代風の懐かしい紅殻格子風木造平屋の建物で温泉街の中心部に位置し、茶店や地元特産物の販売、展示ギャラリーなどがあります。","","http://www.hadutiwo.com/",""
"172065","000023","石川県","加賀市","越前加賀県境の館","エチゼンカガケンキョウノヤカタ","越前加賀県境の館","06:文化・展覧施設","福井県あわら市吉崎２丁目１００４－２","","36.290651","136.252542","0776-75-1705","","越前加賀県境の館運営委員会","月;水;木;金;土;日","09:00","17:00","火曜・年末年始休館","越前・加賀の境にあった集落、吉崎を普及活動の地とした蓮如上人に関する情報や加賀市・あわら市の観光情報などをタッチパネルや映像で発信しています。","多目的トイレ有","http://awara.info/cat-sightseeing/%E8%B6%8A%E5%89%8D%E5%8A%A0%E8%B3%80%E7%9C%8C%E5%A2%83%E3%81%AE%E9%A4%A8",""
"172065","000024","石川県","加賀市","蘇梁館","ソリョウカン","蘇梁館","06:文化・展覧施設","石川県加賀市熊坂町ハ２８－３","","36.300599","136.309975","0761-72-5350","","加賀市","月;火;水;木;金;土;日","09:00","17:00","年末年始休館","江戸末期から明治期にかけて活躍した北前船の中でも、大きな勢力をほこっていた久保彦兵衛家の主屋が移築復元され、梁を蘇らせたことで蘇梁館の名が付けられました。地域の交流の場として部屋をご利用いただけます。","多目的トイレ有","http://www.tabimati.net/midokoro/detail_kanko.php?p=1563",""
"172065","000025","石川県","加賀市","加賀山代温泉総湯","カガヤマシロオンセンソウユ","加賀山代温泉総湯","04:レクリエーション施設・観光施設","石川県加賀市山代温泉万松園通2-1","","36.288596","136.361348","0761-76-0144","","加賀山代温泉財産区","月;火;水;木;金;土;日","00:25","22:00","第4水曜は12：00まで休み","浴室は大きく天窓がとってあり、明るく開放感にあふれています。壁には九谷焼作家たちによる手描きタイルが彩りをそえ、足元は地元産の石張りで滑りにくく安心です。お湯は源泉１００％の加水なし。","多目的トイレ有","http://tabimati.net/midokoro/detail_kanko.php?p=3172",""
"172065","000026","石川県","加賀市","加賀片山津温泉総湯","カガカタヤマヅオンセンソウユ","加賀片山津温泉総湯","04:レクリエーション施設・観光施設","石川県加賀市片山津温泉乙65-2","","36.345295","136.368966","0761-74-0550","","株式会社岸グリーンサービス","月;火;水;木;金;土;日","00:25","22:00","臨時休業有","全面ガラス張りの特徴的な建物。美しい湖面を望む「潟の湯」、緑の中で安らぐ「森の湯」が日替わりで楽しめます。","多目的トイレ有","http://sou-yu.net/",""
"172065","000027","石川県","加賀市","大聖寺児童センター","ダイショウジジドウセンター","大聖寺児童センター","13:幼児・児童施設","石川県加賀市大聖寺鷹匠町５７番地１","　","36.306753","136.313615","0761-73-2802","2000020172065","加賀市","月;火;水;木;金;土","09:00","18:00","国民の祝日に関する法律に規定する祝日および年末年始（12月29日から翌1月3日）は休館。ただし、こどもの日は開館。","子ども達に健全な遊び場を提供し、すこやかな心と体力を増進し、情操を豊かにすることを目的とした施設","多目的トイレ有り","http://www.city.kaga.ishikawa.jp/kenkoufukushi/jidou/jidousenta-_2.html","　"
