"市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","方書","緯度","経度","設置者","電話番号","SSID","提供エリア","URL","備考"
"172065","000001","石川県","加賀市","加賀市役所","カガシヤクショ","Kaga City Ofice","石川県加賀市大聖寺南町ニ41","本庁1階","36.3026826","136.3148937","加賀市","0761-72-7841","Kaga_Kamomaru_Free_Wi-Fi","市民ホール","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000002","石川県","加賀市","石川県九谷焼美術館","イシカワケンクタニヤキビジュツカン","Ishikawa Prefecture Kutaniyaki Art museum","石川県加賀市大聖寺地方町1-10-13","1階","36.3027797","136.3102832","加賀市","0761-72-7466","Kaga_Kamomaru_Free_Wi-Fi","入口ホール","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000003","石川県","加賀市","加賀市観光情報センター　KAGA旅・まちネット","カガシカンコウジョウホウセンター　カガタビマチネット","Sightseeing in Kaga-shi information center KAGA trip town net","石川県加賀市作見町ヲ6-2","1階","36.3196093","136.3508761","加賀市","0761-72-6678","Kaga_Kamomaru_Free_Wi-Fi","センター前休憩所","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000004","石川県","加賀市","道の駅山中温泉ゆけむり健康村","ミチノエキヤマナカオンセンユケムリケンコウムラ","Road station Yamanaka Onsen Yukemuri Health village","石川県加賀市山中温泉こおろぎ町イ19","1階","36.2377003","136.3675157","加賀市","0761-78-5546","Kaga_Kamomaru_Free_Wi-Fi","売店","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000005","石川県","加賀市","山代温泉総湯","ヤマシロオンセンソウユ","Yamasiro Onsen Soyu","石川県加賀市山代温泉万松園通2-1","1階","36.2885801","136.3613147","加賀市","0761-76-0144","Kaga_Kamomaru_Free_Wi-Fi","休憩所","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000006","石川県","加賀市","山代温泉古総湯","ヤマシロオンセンコソウユ","Yamasiro Onsen Ko-Soyu","石川県加賀市山代温泉18-128","1階","36.2888829","136.3614285","加賀市","0761-76-0144","Kaga_Kamomaru_Free_Wi-Fi","休憩所","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000007","石川県","加賀市","中谷宇吉郎雪の科学館","ナカヤウキチロウユキノカガクカン","Nakaya Ukichiro Museum of Snow and Ice","石川県加賀市潮津町イ106","2階","36.3523689","136.3624932","加賀市","0761-75-3323","Kaga_Kamomaru_Free_Wi-Fi","入口休憩所","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000008","石川県","加賀市","片山津温泉総湯","カタヤマヅオンセンソウユ","Katayamazu Onsen Soyu","石川県加賀市片山津温泉乙65-2","1階","36.3454116","136.3686982","加賀市","0761-74-0550","Kaga_Kamomaru_Free_Wi-Fi","入口休憩所","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000009","石川県","加賀市","北前船の里資料館","キタマエブネノサトシリョウカン","Kitamaebunenosato Museum","石川県加賀市橋立町イ乙1-1","1階","36.3508636","136.3105436","加賀市","0761-75-1250","Kaga_Kamomaru_Free_Wi-Fi","休憩所","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000010","石川県","加賀市","鴨池観察館","カモイケカンサツカン","Museum of Zoology","石川県加賀市片野町子2-1","上階","36.3216946","136.2940646","加賀市","0761-72-2200","Kaga_Kamomaru_Free_Wi-Fi","観察室","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000011","石川県","加賀市","加賀市立山中図書館","カガシリツヤマナカトショカン","Kaga Shiritsu Yamanaka Library","石川県加賀市山中温泉西桂木町ト19-1","1階","36.2517044","136.3747869","加賀市","0761-78-4441","Kaga_Kamomaru_Free_Wi-Fi","郷土資料コーナー","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000012","石川県","加賀市","加賀市文化会館","カガシブンカカイカン","Municipal Lyceum in Kaga","石川県加賀市山代温泉北部2-68","1階","36.2969353","136.3577085","加賀市","0761-77-2811","Kaga_Kamomaru_Free_Wi-Fi","ホール","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000013","石川県","加賀市","加賀市立中央図書館","カガシリツチュウオウトショカン","Kaga City Central Library","石川県加賀市大聖寺地方町1-10-4","館内","36.3025436","136.3107831","加賀市","0761-73-0888","Kaga_Kamomaru_Free_Wi-Fi","ロビー、会議室、市政・議会図書館","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000014","石川県","加賀市","加賀市美術館","カガシビジュツカン","Kaga City Art Museum","石川県加賀市作見町リ1-4","1階","36.318973","136.3515299","加賀市","0761-72-8787","Kaga_Kamomaru_Free_Wi-Fi","ホール","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000015","石川県","加賀市","加賀市医療センター","カガシイリョウセンター","Kaga Medical Center","石川県加賀市作見町リ36","1階","36.3173375","136.352137","加賀市","0761-72-1188","Kaga_Kamomaru_Free_Wi-Fi","総合受付、休憩所、バス待合室","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000016","石川県","加賀市","かが交流プラザさくら","カガコウリュウプラザサクラ","Kaga Interchange Plaza Sakura","石川県加賀市大聖寺八間道65","1階","36.3079319","136.3101136","加賀市","0761-72-7845","Kaga_Kamomaru_Free_Wi-Fi","エントランスホール","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000017","石川県","加賀市","山代温泉　湯の曲輪","ヤマシロオンセンユノガワ","Yamasiro Onsen Yunogawa","石川県加賀市山代温泉18-128","","36.2888829","136.3614285","加賀市","","Kaga_Free_Wi-fi","総湯・古総湯周辺","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000018","石川県","加賀市","山代温泉　足湯","ヤマシロオンセンアシユ","Yamasiro Onsen Foot Bath","石川県加賀市山代温泉18-121甲","","36.288589","136.361639","加賀市","","Kaga_Free_Wi-fi","","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000019","石川県","加賀市","山中温泉　山中座","ヤマナカオンセンヤマナカザ","Yamanaka Onsen Yamanakaza","石川県加賀市山中温泉薬師町ム1","","36.24718","136.372677","加賀市","0761-78-5523","Kaga_Free_Wi-fi","山中座前広場","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000020","石川県","加賀市","山中温泉　あやとりはし","ヤマナカオンセンアヤトリハシ","Yamanaka Onsen Ayatorihashi","石川県加賀市山中温泉河鹿町ホ89-2","","36.245437","136.375578","加賀市","0761-78-0330","Kaga_Free_Wi-fi","駐車場周辺","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000021","石川県","加賀市","山中温泉　こおろぎ橋","ヤマナカオンセンコオロギバシ","Yamanaka Onsen Koorogi Bridge","石川県加賀市山中温泉こおろぎ町ロ140","","36.241016","136.371652","加賀市","0761-78-0330","Kaga_Free_Wi-fi","公衆トイレ周辺","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000022","石川県","加賀市","片山津温泉　湯の曲輪広場","カタヤマヅオンセンユノガワヒロバ","Katayamazu Onsen Yunogawa Park","石川県加賀市片山津温泉乙56-5","","36.3453275","136.3689468","加賀市","","Kaga_Free_Wi-fi","","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
"172065","000023","石川県","加賀市","片山津温泉　砂走公園","カタヤマヅオンセンスナハセコウエン","Katayamazu Onsen Sunahase Park","石川県加賀市片山津温泉乙34","","36.345581","136.366792","加賀市","","Kaga_Free_Wi-fi","足湯周辺","http://www.city.kaga.ishikawa.jp/soumu/toukeijouhou/kagashikousyuumusenLANnogoannai_2_3.html",""
