Type,Definition,Name,Address,Lat,Lon,Kana,Ward,WardCode
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,生麦小学校,神奈川県横浜市鶴見区生麦四丁目15-1,35.49547584,139.6710972,ナマムギショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,豊岡小学校,神奈川県横浜市鶴見区豊岡町27-1,35.51239349,139.6750827,トヨオカショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,鶴見小学校,神奈川県横浜市鶴見区鶴見中央三丁目19-1,35.50899783,139.6838254,ツルミショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,潮田小学校,神奈川県横浜市鶴見区向井町3丁目82-1,35.50652713,139.6899645,ウシオダショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,下野谷小学校,神奈川県横浜市鶴見区下野谷町2丁目49,35.50049298,139.6816234,シタノヤショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,市場小学校,神奈川県横浜市鶴見区元宮一丁目13-1,35.52290962,139.6829518,イチバショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,平安小学校,神奈川県横浜市鶴見区平安町2丁目9-1,35.51222005,139.6920299,ヘイアンショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,末吉小学校,神奈川県横浜市鶴見区上末吉一丁目9-1,35.52498786,139.6694627,スエヨシショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,上末吉小学校,神奈川県横浜市鶴見区上末吉五丁目24-1,35.53397133,139.6622135,カミスエヨシショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,下末吉小学校,神奈川県横浜市鶴見区下末吉二丁目25-6,35.52262994,139.6749124,シモスエヨシショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,旭小学校,神奈川県横浜市鶴見区北寺尾四丁目25-1,35.51593777,139.6548356,アサヒショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,東台小学校,神奈川県横浜市鶴見区東寺尾東台12-1,35.50347728,139.6643319,ヒガシダイショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,岸谷小学校,神奈川県横浜市鶴見区岸谷一丁目6-1,35.49375745,139.6620769,キシヤショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,矢向小学校,神奈川県横浜市鶴見区矢向三丁目8-1,35.5332475,139.6793582,ヤコウショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,入船小学校,神奈川県横浜市鶴見区浜町1丁目1-1,35.5008709,139.692913,イリフネショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,寺尾小学校,神奈川県横浜市鶴見区東寺尾五丁目19-1,35.5039221,139.6575724,テラオショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,汐入小学校,神奈川県横浜市鶴見区汐入町2丁目36,35.49865566,139.6879339,シオイリショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,馬場小学校,神奈川県横浜市鶴見区馬場七丁目20-1,35.50981396,139.6443132,ババショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,駒岡小学校,神奈川県横浜市鶴見区駒岡三丁目14-1,35.5286923,139.6547874,コマオカショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,獅子ケ谷小学校,神奈川県横浜市鶴見区獅子ケ谷一丁目19-1,35.51698934,139.6510219,シシガヤショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,上寺尾小学校,神奈川県横浜市鶴見区馬場三丁目21-21,35.50732575,139.6541116,カミテラオショウガッコウ,鶴見区,01
地域防災拠点,被災した住民の避難生活の場所、情報受伝達、備蓄機能を備えた拠点です。,新鶴見小学校,神奈川県横浜市鶴見区江ケ崎町2-1,35.53267872,139.6770859,シンツルミショウガッコウ,鶴見区,01
